review,label
I like this game it is cool!!!!,
This game is stupid I hate it it says bad and it makes me feel so bad,complaint
I love it??????????????????????????????????????????????????????????????????,
Great and fun,
This is cool,
Good,
It's awesome,
It's nice,
I love it,
I love it,
I love this games it makes me so happy,
Amazing,
The temptation. When u have t go fast is amazing can I need to work out my fingers and that is the thing to do it.??,
It's addictive and fun,
It's a good game but not,
I disliked it because it kept saying bad like I was trying my best,
I really love this game because it really gets my bones to work,
Horrible but OK,
Im rating it bad because every single time i clicked on the black tile it counted it wrong;-;,complaint
Good,
If you could just add a pause button it would make it two times better,request
I love this game overall but the problem is my tablet is saying that the game is trying to get hold of my location is that the game or are u guys tying to find out where I live?,
Lovely,
Best game ever,
Its. Asome,
That y'all are gay,
I love your game,
Awsome,
I feel very happy because this game is awesome!??,
Good game it so good but my screen keeps freezing,complaint
If i could i would give this a zero. It gives me a lot of bad,
Love it go download please,
It's faboulous and easy,
Love it,
I don't recommend this app at all ??????????????,
Loved it,
Super game,
I Love the music????????,
Best game ever but??,
i It is amazing,
I love it. I love it,
I dislike this game because you keep on saying we're bad and we're trying our best and it's probably our first time,complaint
Love it,
Love it,
I love this game because its addicting,
I think that I have never ever played a game this good and I'm just in love with the first song I could play this game 24/7/365 and never get tired of it thank you for creating a wonderful/amazing game I love it,
This game is awesome... I'm really getting the hang of it..... I can challenge anybody and I can try to beat anybody,
I love it! :-) :-) You're the best,
Its a fun game,
It a fun game once you get the hang of it,
I love it but the ads need to leave.,request
I love the piano so much that I installed all Piano games ??,
This game is so abicting and is a really easy and cool game I love this game I play it every day after school cool game to get,
Its good luck,
BEST GAME EVA!!!!!!!!!!????,
It is a very cool game,
OMG!!!!THIS GAME IS AMAZING!!! Not only does it challenge your speed it gives you great music to listen to!!!,
I love this game so much so far this is my favrite game,
It was kinda cool but very slow. Slow,complaint
Ilovethisgame??????,
I think it is a very fun games and music,
I get a bad on everything i do!,
I love it so much and everyone else to I give a+ on this Game ??????????,
Amazing,
This omg is aswome ????????????????,
It is very good,
:):):):)(; (;(;(;(; (;(; (;,
It takes WiFi,
I really like this game +the music is so beautiful and sometimes emotional????,
I personally think that this was the best game I've ever played,
I love the music,
I hate it it's kinda stupid because when you tap the tile it doesn't even tap so it's stupid!,complaint
Or makes me happy,
Hate hate hate every time I press the button it be wrong,complaint
I have only just started and a it is my favourite game yet,
I think it ok,
It,
It miss me up when it says perfect good and I hate when it says bad I just hate it,complaint
I think that this game is amazing and I loved the levels,
I like it,
This is my favorite game,
It's not letting me do it right so stupid and it makes me mad I amost broke my phone because of this u stupid game ????,complaint
This is the best thing of piano tiles the others are stupid but I love this one,
Good,
honestly I am saying that this game v.good,
I liked this game I think I'm the best,
Awesome game!!,
Cool..,
Its ok,
I have been playing for a month and I love it,
Awesome love it ??????????????????,
I love this game I just got it today and I'm at level 15 lol that how much I love this game,
Love it,
I love it so so so so so so so so so so so so so so so so so much,
It will not let me turn off the music,complaint
It was a great game.,
This game is so defy(mencabar),
I love that songs,
It is awesome,
Loved it.. It's so easy to play My high score is 2767,
Well I'm puty pie and I love this game,
I don't know I haven't played it yet so good luck who ever play it,
I like it but sometime they make you make a piano??????????????????????????????,
I love this my favorite is someone is leaving and it touches my heart.,
Verygood,
I am not in to this game,
I really enjoy this game so much when am bored...,
I think this is the most creative game I had ever played thank you for making this wonderful game,
??????????????????????,
Its very adictive.but i love it,
Bad because my high score was 168 and they kept on saying bad????,
It is terrible it was a waste of my time I hate this game,complaint
Its a fun but its hard game to,
I do not know what to say,
Awesome,
This game is so addictive,
Booooooooooooooo,
Sweet,
I was amazing i am going play it all day:D,
Cool??,
It is very fun and a is good for learning to do piano,
This game is almost too much fun. I didn't want to stop playing to rate it!,
i Love it q,
hated it,complaint
It is awesome I love it so much!!!??????,
Well i loved the game but if you tap the black tile is will say good or bad,
I love it ????????????????,
I love that it is challenging,
Cool I go best mod lol,
It is the best game ever,
Fun and cool. Make more of dis cool game.,request
Well not is a good game and all but sometimes when you tap it dont tap,complaint
I love i,
I love this game,
Ehh,
Love this game so much helps me calm down,
Love it,
IT'S SO STUPID I DID NOT HIT ONE WHITE TILE AND THE GAME SAID BAD STUPID GAME DON'T MAKE ANYMORE SO STUPID WHAT TYPE GAME IS THIS HATED THIS DUMB GAME ??????????????????????????????????,complaint
Good graphics,
Awesome. I love it,
Its fun but gets on my nerves but overall its fun and a good game bye ??,
I liked it a lot ??,
Bad just dont het it,complaint
Awesome,
Alsome,
I love this game I'm so adicted to this game!!!!!!!!!,
SOOOO FUNNNNNN,
This game is asome,
Good,
It is grate,
Love the music relaxing. ??????,
I think this game is much funer and better then piano tiles??????????,
Its fine,
I think that it is a very awesome and fun game,
This app is good if you like a challenge. After every round the sound gets faster and is kind of addicting,
Nice,
I think it is very easy to use the same as the piono tiles 2 ????????,
Blah blah blah.....,
"It's a really good game I love it thank you for making it ,,,,,",
It's so fun and time passing I almost missed my school bus playing,
I love it and it never gets old,
It's amazing??????:-D,
.....cool 4u,
To laggy ??,
THIS ONE SONG IS AWSOME LOVE AND INSPIRATION!!!!!!!!!!!!,
I love this game,
wwww,
I love the game so much i can't stop playing,
Very interested,
Awesomeness! ¡!!!!!!!!!!!!!!¡!!!!!!!!!????????????????????????????????;-,
Great game,
Its awesome,
Its good,
Stupid,
Best game ever,
It want very intertaning,
Good,
Job,
GOOD,
Piona this le,
It keeps gliching,complaint
This is my favorite game????????,
I like it because it makes me feel happy,
It says I am bad all the time,
Sangat sangat bagus,
It's ok,
BOO!??,
Love it,
Really awesome This is my first time playing this game and I'm already u no what I mean,
I hate it,complaint
Cool but weird at the same time,
It's fun,
I love it,
Umm i like the game .,
Awesome,
So stupid,complaint
Hi,
I love it??????????????,
I love it,
I played it and i love it,
Cool game,
I love this game t is soo addicting and fun????.,
I think it is ok i just think maybe they should add speed levels like slow medium and fast,request
I LOVE IT Its also like impossible to get a bad when it goes fasty favourite one is the second band song,
I'm not trying it again sorry but I don't like it,complaint
I like this game make me happy,
Awesome and amazing,
Helps with hand eye coordination!. Once you pass the song it goes faster and gets harder but vary fun!,
Fun Happy Nice.,
I realy like this app,
Love it is awsome,
Fun,
Omg it's kinda cool but............,
It's soooooo hard,
IT WAS GREAT,
Really it said i had all bad notes and i was doind really good really that was a sucky app im going to get the app that they coped,
"This game is so fun. I feel like I could beat Mozart on this game, cause it's so fun! <3",
Wow,
This game is so much fun i love it keep up the good work,
It was horibel,
I love it it's so fun ??,
Mehp,
It always says bad and it glithes,complaint
Love just love it,
It a good game,
I love the sound,
......I played white tiles 2 its good this only bad bad bad bad bad bad bad and bad its annoying!,
I like the game but takes so long to load,complaint
It is going to be fun,
Amazing you should get it,
"I love this game, it is sooooooooooo fun",
Best game ever !!!?,
I really thinkthatthegameisto,
I love playing the piano,
It is perfecto,
You are a guenous,
Fun and easy,
This game is good for people because they can work out your fingers,
It makes me like music even more! :-),
???????,
Piano titles. Best game ever,
How many people who want you get a single most excited for part to unlock all rights and did this straight from home to make sure that my songs don't want the golden globes to the dark ages in comics to make purple the cool thing about Luigi he said it was a good thing for the retarded to make purple shep how to unlock the dark knight and dance music video photos from around the world in Mario kart Wii sports illustrated with your family of rock and roll hall of fame in Mario kart Wii sports illustrated with your family will also need a single person who were a good idea to make purple shep now that my songs know what you did in the dark knight and dance music video photos from around the world in Mario kart Wii sports much,
????????????????????????????????????????????,
It's brainy n interesting...U just get involved while playing...It's gud???,
I love the game all the way. The crazy thing is I just started the game and I have already rated it . This is my favorite game of them all make more games this cool. Please please please. Thank you if you do.,request
I LOVE THIS GAME. ???????,
Wow didn't expect,
Terrible it always sed bad to me i hate it,complaint
It was really awsome,
It's? awesome ??????,
Awsome,
It's a really fun game I suggest you download it,
Es muy muy bueno lq musica es super bonita ?,
Mikey likely,
I love it????????,
Fun Should totally get fun game and great time killer,
I hate it,complaint
It's awesome!!!,
My fingers are bleeding to death after playing continuously for 9 hours,
I love it so cute,
It's great,
Cool,
It is a great game and I think everyone should play it,
Do not play this game i wonder about this game if it can get any worse,complaint
It keeps telling me I'm horibal,
This game is the best and not only that there is no glitching in the game. The only thing dat botrers me is thre is not much levels.,complaint
Lol,
I love this game so much suck a time killer and challenges you but isn't hard,
I am not sure if I can do that to happen to me that I can get a hold on to it now and again I am going to bed early tonight at my house is clean up after school and work on it now or later tonight if you're going to be able to get the chance that I have a nice day for me and you are a couple days ago I had to go back to work on the ?? with my ?? and friends that have been a long time ago I got a little bit more than anything else I can see the movie was great to see you in a few weeks back and forth between us is that the only thing I can see it now or what ever you want to do with the family is in my head is killing me right now It'sknown unusually large bowl of cereal and milk and cookies and cream cheese frosting is a good day at school today 8,
Ok. I'm trying not to be really hard but this is a total copy of Magic Paino 2 or something. I like it but I dont like the way it scored you.,comparison-complaint
It is a good game love it,
Love it,
I love this game,
Its a good game but hard,complaint
So fun,
I love the and it's also very entertaining for my little brother Nehemiah,
Cool,
Awesome-sauce-y-ness Like a boss.,
ITS A SCAM YOU SHITDICK,
Amazing And I LOVE A Friendly Challenge,
WHY DID YOU GIVE BAD JUDGING!!!,
If you have spell time you should play this game but Roblox is better,comparison
When ever I press one of the keys it say you did not press it!!! I HATE THE GAME!!! DO NOT GET IT! -??????,complaint
Love it ??????,
Fake and gay,
Its fun and a challenge for you get better. I've played piano music since a kid. It's awesome. If I could I would give it a 10,
It was nice,
"Honestly a beautiful game and all, I love the music, but the rendering isn't as well as it should be, I'm tapping and it's as if it doesn't read my finger placement and says i either tapped above or completely misses it, and the other problem might be Internet connection, although my connection is pretty good, but it lags behind amd freezes at times",complaint
Great time Miller a must play,
THIS GAME IS SICK IN A GOOD WAY!,
Great game don't listen to haters it is a great and addictive game well done Amanotes JSC????,complaint
Nothing!,
Good game maybe put some up to date songs as well,request
Cool ??????????????,
To many ads don't like the lives,complaint
Absolutely funtastic!!!!!!!,
Love it!!!!!,
Hello everyone!!! Game is great. . BTW first round is on me ;).. good luck...Canty Adam..,
Loved this game. Addictive and awesome piano game ever.,
The best piano game I known,
It is garbige!!!!,
Hated it,complaint
This version does not work??,complaint
Smish,
Crap,
Yay. I give this fiiiiive stars,
It's shoot???????????????????????????????????????? play piano tiles 2 it doesn't say bad or good it lets you play but this is horrible the graphics though yes mix the gameplay of piano tiles 2 and the graphics of this game Then you have a game ??????#I love emojis,complaint
I love playing the piano,
Asome I got in the thousands,
Its cool! you should put it everywhere!!!!!! !!!!!!!!!,
"Easy to play and kinda fun, but froze once and fingers slip easily on triggering advertisements. Nice app tho!",complaint
It is amazing,
It's a great new version of Piano Tiles 2 Magic Challenge known as Piano Idol. I really love it with different interface and also speeding songs. Try it guys!!!,comparison
Awsome game,
I love this game it is so easy and fun,
????,
Good,
Fun Fun Fun,
This is such a good game for your fingers and brain,
Fun to play.,
I love this game,
outrageouse,
AWESOME DUDES,
Great graphics I love the graphics it is so good Warning: this game is very addictive,
Addictive,
This game is so cool,
This game is awesome and wonderful,
Best game ever,
"To many advertisements, but other than that its good",complaint
Its very addicting game. But it gives me something to do when im bored,
I love this game,
Peaceout. This is a great app.,
"It's a really neat game to play, just didn't like the ads and the tiles play with me sometimes, and the music goes all fast when that happens",
My mom my Aunt and I play it ever day......??,
Loved it,
It sucks big dick,
Absolutely love this game! I'm completely addicted.,
It is pretty good and cool ???????????????????# pretty good ??.,
It was awesome for my 6 year. Pretty impressed how good he was. Great eye and hand coordination,
Cant resist to play it,
"This game doesn't have very good songs, and it always stops the song when it says I didn't push a tile when I did. This app sucks. ????",complaint
I love it,
The is awesome i am addicted to it,
If you don't have a piano at home this is a great game even if you do have one it's still fun,
It's tooo cool app.... I love music toooooo much,
Oits ok,
It's amazing It's amazing a bunch of people should try it it's so cool if you can make Morgan like it unlike kids can play it it was tight and I'm going to try to unlock the guitar I'm good at the piano though so I don't know what I'm going to do it's super amazing so I'll guess I'll get something LV much better if you could make more piano songs with voices that will sing that would be cool Thanks,request
I want a other player,request
This is the best game ever I live this game so much it is like the best so.......????????????????,
Its okay but I don't like the key board This is a no,complaint
Its okay,
lags a little.,complaint
I love it! Although it is pretty hard.,
AWESOME GAME,
This is the most amazing music game i ever had i was like OMG this have one of my favorite songs this is such a great app even my mom and dad like this too! so please download this and try on your phone it doesn't even need the internet!,
"It is great, it have alot of song to choose from and play. It is like the normal piano tile 2 and it is good for you to listen to different types of song. I think l will be happy to play it as it have alot of song, and no matter what song l play unless it is related to this game.",comparison
????????????????????,
Love the app it keeps entertained,
Rip off,
Love it????????,
I love this game soso MUCH!,
This game is fun,
Awesome,
I hate ir,complaint
This is amazing,
Very cool,
It is very entertaining,
I never saw such an Worst app don't install it,complaint
Think its fun because the music is really fun,
Love this game????????,
I dont like how you have to download the songs,complaint
Lots of fun.. I liked it very much,
Great,
It would be nice in the battle mode that after the competition it would say the name of fhe song. Other than that nice game.,request
Good,
"I'm sorry, it's just too many ads, I like the first one wayyyyyy better..",complaint
"A fun, great game to pass time by. I love this game and can play for hours or a few minutes!",
I love the endless mode,
"Loved it, really fun, just wished that it didn't take up so much space",request
It is amazing in my opinion ??????????,
It's a nice game nice graphics,
Amazing game,
I LOVE THIS GAME ITS REALLY GOOD THE TRAFFICS ARE AWESOME ADD EVERYONE SHOULD BUY IT ????????,
Love ittttttt so much,
Perfect,
Bc it is awspme,
It's a Good game to pass the time,
"Great Great, :D",
It's? alsome,
It's cool,
Hated it,complaint
It's really fun to play and great music,
Fewer ads and it would be perfect,request
It is good game . This game I give 3 star but Minecraft I will give no star,
cool i love it,
It is an nice game if we love music and very nice to play if we r bore Love it,
G[oooo[ooooooooooood??,
This game is soo dead the graphics are so bad and when i press a tile it makes me lose instantly i beg who ever is reading this to totally not install this game plzzzzzz,complaint
"I don't elreally like that you have to hit the tile on a certain spot to get points, but the graphics and sounds are really good.",complaint
????????????,
Great game for better concentrations,
Nothing,
Loved ut,
Fun and challenging,
I love it ??????????????????????????????????????????????????????????????????????????,
I like this game,
It a fun game,
I love it!!!!!!!!!!!!!!!!!!!,
Piano titles magic 2. AWESOME,
I HATED IT,
Loved it it's a great time killer And also it has man?????:-D:-P,
I'm a music fan so I think this is just te greatest thing to work on my memory and hand eye coordination.,
Iys great,
I can play this all day,
I think it is great,
Different but sounds good????,
Awsm game....?? best game time pass,
It's so awesome and good time killer,
It's addictive,
I'm An Expert at this game people are jawdropping at my school because i know all the notes and i get up to 200 - 900,
It was Bad JK I am already on level 10 it has only been 20 minutes,
Well with me I can type really fast its not working with me I really doubt know how to feel about this game,complaint
Love this game,
The best game ever.I have never played a game like this,
Needs better songs but otherwise it's great,request-complaint
Its poop,
This game is not in sync at all you press a button and it says you missed it ????????,complaint
Great time killer and can play anywhere,
This is the best game I ever played,
I hate it,complaint
Hi,
I love the music,
I think this game okay but i do know what you think....???,
So interesting game,
you shout add an duel mod it will be fun :),request
Good game but glitchy,complaint
I think it needs better graphics,
Its awesome boiiiii????????,
Love it,
The biggest problem with this game is Bluetooth audio delay. It's incredibly out of sync,complaint
Loved it. Lol,
I like the game,
It fun and kills time at school or on the bus,
I love this app??,
I loved it,
Amazing. It is fun challenging and peacegul,
Cool,
Hello,
There is too many notes and that makes me mad ??,complaint
The game is so fun i can play it for ever,
It really cool and I think other people should try it. And it's a little bit more better than piano tiles 2,
IT IS VERY GOOD GAME I LOVED IT VERY MUCH,
Need newer songs. Hearing the same songs gets boring. Other then that I love it.,request
I love it.......but to many adds,complaint
Cool game,
It is challenging and So fun,
It a fun game to play and very creative,
This game is awesome i really liked this game,
i love this game but it ceeps showing ads,complaint
OMG IT'S SKILLS GREAT I LOVE IT MAKE MORE,
I think that this game is best,
Fun,
Aswome,
It's? ??,
Good rampagebull9 t,
Was amazing ?? ?? ??,
Yay,
Piano. Wassup homies its music time#Ragatang# lol xD ape,
GALANG DWI ARIAPERATAMA,
Amazing ??,
WHY ARE YOU COPYING PIANO TILES!?!?!??,comparison
It is the best game I ever played ????????????????????????,
The Piano lessons are very challenging for me but it'd very entertaining.,
This game is amazing . I love it,
Relaxing,
Claris Thomas,
I hacked it,
This is very addicting I played at my friend's house and then I just had to get it for myself!!!??????????????,
Helps you think,
I love this song,
Awesome way to pass time ??????,
This game is fun,
I love it,
I really really love it,
Coooooooooool,
"Best game ever for mind relaxing, hats off to the inventor of this game",
This game makes me want to dance the day away,
Cool,
It is actually great i can play it anywhere i want and it doesnt kick me offline,
I love it also can yall add today ??,
Great,
AWESOME GAME!!!!! ??,
AWSOME it's so cool,
It's awesome,
I like how the music sounds and the colors are pretty,
Just one word...AWESOME...????,
worst game but 5 star just kidding the best game ever,
Yeeees,
More trise when you die the,request
"It's awesome,it can fight with the other person....????I LOVE THIS GAME SO MUCH",
It's awesome,
Great game,
I love it is so damn addictive and I love the music but one problem the ads you have to pay for the ads to be removed come on really,complaint
This is a great,
Its worth the download.,
I love this because it's cool,
This game is amazing,
Fun,
Thumps up...love it,
????????????,
AMAZING GAME WOW!!!!!!!!!!!!!!!!,
Cool,
I love this game,
I love it,
I love it my most favorite game in the world I love it??????,
BEST GAME EVER ! Do get it and please add rolex,request
Super,
So cool and time killer when in the car bored,
Good,
This game is very addicting on the first time i played it i already got to level 4??????,
Amazing,
I have always loved piano tiles and this one is my favorite,
"Its so cool and fun, but on the conpetitions is hard GET READY!!",
Download now??,
T fun,
Op,
Addictive I absolutely love this app.,
I love this game,
This was really good,
Awsome. Best game in the world that I'd ever play,
OK Wow,
Love the poetic music,
Abso-mutha-f****in-lootley awsome,
It is great,
I love this game??????????,
I like it but too much adds,complaint
I like it!!,
it is awesome so cool,
This game would be perfect without ads,complaint
Love this come download it,
Great Dragon,
I love this app?,
Ok,
Okay,
I think this game is gr8 and means you can listen 2 yourself play music and play a game at the same time,
It's awesome!!!!!,
It fabuless i love the new song,
Good,
I don't like this game,complaint
Well.. its nice,
Interesting,
Its really fun and im in love with the songs that go along with it.,
Good for focus people,
It was too slow,complaint
I love it ?????????????????????????????????????????????????????? .,
So fun to race your friends at school so fun,
IT IS AWESOME,
I love it,
It's really additive,
Fine,
Ah yes good,
I love this game so much,
And I don't like it but it does encourage people to do their best,complaint
I love the game,
It's Awsome,
I LOVE THIS GAME ??????????????????????????????????????,
Make it faster,
Pretty,
? Loved it ?,
RIPOFF!!,
I love the music its so Sweet and calming but some can make you want to DANXE!!!!!! Love it ??????????????????????????????????????????????????????????,
I love this game with all my heart,
So fun to play and can play during leisure time.,
Loved it best game,
Awesome,
I think the game is really cool??,
Damn.,
Its a very relaxing yet very fun game. 2 thumbs up for this game ????,
This game is so amazing all people should try it cause it's fun and it makes me smile so hard.,
Nice AP,
You should probably put more gems And put more songs,request
Love it good destractoin. Kool game,
Its so fun,
10-Oct,
Its such a good game,
"Next time dont fake fail me on popular songs just to keep me longer, you losers",complaint
I think it is a good game and my favorite piano thing is love and inspiration,
Rene. Its so amazing to see how far i got my hie score is 2978 im not liying,
It's not easy for me to play this ????,
Awesome...,
Cool and fun,
Aweso,
perfect,
Loved It,
This gameake you live,
This game is fab it is the best game you can get,
Like when I would do free gems it took me home,
Thumbs up,
I love this game ????????,
Nothing,
You're game is so cool,
Vgood lol,
It is not so good as i thaught,
I love this game it's so addicting ?? best game in the world,
Like it don't love it,
"WORST COPY,? GOT PROOF!!!!!!THE REAL CREATOR OF TH?S GAME ?S CHEETAH SOMETH?NG or he probaly changed his name i dont know,if he did then im sorry",comparison-complaint
I tried this game and fell on love! ??,
I LOVE THIS APP,
It's a good game i would recommendit,
Ayos,
Thanks for the best game ever and I will be a good idea,
I loved playing panio and u made it more awesomeness,
It is trash,
Fun and time consuming I love it great for learning how to move faster,
GREAT GAME!!!!!!,
Don't be the guy that says there isn't even 50 countries have not played the game but I love it,
Hate it,complaint
I love to so bad like it like that again it was okay I loved it I said it was okay that I liked it I liked your hair so,
I thinl thks game is awesome,
It gets harder and harder great way to pass time awesome game,
Cool. Game was fun,
Awsom but I want to sign into google play but it doesn't let me.??,complaint
It is very challenging at first is is slow put then it is fast that is what i like about it,
I really liked it,
its okay I GUESS but a of of glitches,complaint
Brilliant game,
"Amazing game, but -1 star because my Facebook won't connect for some reason",complaint
I think it's awesome I didn't play yet but it looks awesome stay tuned for my other comment,
It's a great game but I think you should add more songs to it,request
Awesome,
It keeps lagging all the time and its soooooo boring. It doesn't really grab your attention. Its ok. But the music is a bit boring as well... Overall I dont like the game! DONT GET IT!!??,complaint
It's really cool,
This game is awesome how the movement is awesome!,
Awesome,
Fun hame,
This game is great. It is challenging but fun. Totally recommend. I love it.????,
Stupid as f***k,
Best game ever it helps me a lot with my anger and stuff think you for making this game :-),
Good game,
Awesome game its great offers a challenge but its still fun,
I really loved it,
"""It's an awesome game!!.. I gotta say it's..pretty addictive once you start playing :)..""",
It's not like my booooooooo it's a great game??????????????,
Addictive I think it takes quick hands and consentracense to make it well too just stay in the game I love it,
Wow p,
I like it.???,
Its a fun and cool game,
I like this game,
GGGGGGGGGGGGGGGOOOOOOOOOOOOOOOOOOOOOOOOOOOODDDDDDDDDDDDDDDD,
I love it and it fun to play ??,
Cool app,
Don't like how touchy,complaint
This game is so fun with really happy and fun to play music!,
This game is easy as pie,
I like it a little.........,
"I love this game BC I can go all the way up that other people might can go at like 1,000 so I give this a ??????",
St.,
I wish they a number 3,request
Its honestly a very fun game,
I love it..!!???,
Why do it take so long to download the song. You need to fix that.,complaint
I love this game. Its awesome. However i think we should be able to add people on here as friends. Also to be able to creat rooms so you can choose who you play with. Overall i love the game :),request
I love to play this app especially when I'm bored!!,
This is dishonest,
I love this game it's addictive and it lets you listen to music WHILE playing a game best game ever,
Cool been a good app ???????????????????????,
Amazing,
Amazing game i love the songs xxx????????????????????????????????????????????,
This game is really cool to play when you are bored and i would give this game a good reviwe ??,
WO love Thais game,
"Wonderful game to help pass the time, glad my 7 year old found this.",
???? ????? ?????? ?????,
I THINK IT'S AWESOME #COOL,
This is amazing and you can challenge yourself by playing hard ones.:-D,
I have pretty much liked it so far.,
The best game ever,
I llllllllllllllllove this game,
It makes me very happy,
I really love dis game it really helps me type and text more faster ??? ????,
It is a good thang to have poeple leran how to play the piano better,
Nice,
Its lit but not as lit as the other versions tbh??.... Wis it was a different thingy thing but all goods at least its piano tiless,comparison
I love this piano app and music,
Love it,
Ehsbb,
Best gAme ever!!Thank you,
Yoyoippup,
It is awesome!!!!!!,
Best game ever,
Okay,
Intertianing for hours,
Love it. So fun,
It fast and great,
This is so amazing,
Great time killer! So addicting! Too many adds tho.,complaint
I love it so much full of love&??????????????,
I love this especially because I love playing the piano so anyone who is thinking about getting the game get it!!,
I think it's musical,
"In short I absolutely loved the game, 10/10",
I love it because it fun......,
It's cool but I don't like that you can't choose a song from the radio or somthing,complaint
I love this game it's soo good and addicting......,
I think it is a great game to play,
I love it so much,
I love this game of is so fun I did have a different piano tiles but it was not that fun,comparison
I l love this,
????????,
Fantastic,
I played it BEFORE,
Only reason I even rated was to get that add out the way.,
It is okay. Okay I love it,
It's great??!,
Perfect,
"I deleted a lot of apps for this game, but it demanded more space! Not worth it",complaint
I would love to hear my favorite song what I like.,request
It's a good game when you are bored,
Loved it,
Nothing but is so fun,
A lot of people who have been working,
So good so fun,
Joshia,
Great,
I love it cause it is fun cool and challenging ????,
This a good game my kids love it,
It's OK because I got 1010 in my 3rd game.,
Best game ever. I loved how the songs sounded so real.Best piano game ever played,
It is a fun game??????????,
Very well made,
Wow Loved dis game . So much fun . Most important thing 4 me that there is multiplayer mode??????,
I hate the game it is so annoyed,complaint
It is a super relaxing game,
It's great,
Hate,complaint
Great game i love it definitely recommend to friends,
It's really beautiful game,
So fun,
It's really fun and addictive GET THE GAME or you'll regret but be careful if your battery is down when the warning blocks the screen game over,
Game sucks,
Addicting,
Cool,
JUST GET PIANO TILES 2 .... THAT'S WHAT THIS IS BASICLY BUT COPIED,comparison
You should have put word's ln this app,request
I love it tooo much really it is very good and interesting game l have ever seen. Its tooooooooooooooooooooooo interesting,
It so good and cool if want to have fun wift it all the time.??,
Nice game,
So addictive and fun its a great game i highly reccomend it,
Is a good game it would be better with no internet if you could use it proply,
Love Love,
Cool I was kinda surprised that it was world wide omg what a big area !!!!¡!!!!!!!!!!!!!!!!!!!,
It says you can play treat you better and I go in to he app and you can't play it WHY! !!,information seeking-complaint
Love I t so additional,
Kool,
I love the app &lt;3,
Awesome Love it,
I love this game it helps you exercise your thumps in my opinion,
Bad,
Fun and stupid poop,complaint
It was omg,
Such a great app!! Only thing I would like to see implemented is the ability to pair up with real life friends and battle. That aside this is the best piano/guitar app out there.,request
Hello editor this game is Really cool and awesome,
It is great for if you just want to play a decent game it's so easy but some thing you have to buy with real money but it is still fun,
It so addicting,
I over all loved the game! Good phisics good conrolls and everything! I'm a level 21 on my IPhone 4..,
This game is very fun to play,
I love this game it keeps you Bessy,
The best thing since magic tiles 1,comparison
I love this game so much.,
Amazing??????,
"It's awesome, beautiful music, cheerful Melodies,but sometimes it says I didn't hit a note. Other than that it's the best for",
??????????,
IT'S SO NICE,
Its very challenging and fun.,
I think the game is fine my highest score is 2346 like this if you have gotten a higher score than me,
Blah,
