review,label
"If you are having problems with the latest Evernote update here  s the fix:\n\nIf you installed the latest update &amp; Evernote is still crashing:\n\nGo to Settings, Privacy, Contacts look for Evernote &amp; select OFF.",
Just crashes shortly upon launch.,complaint
"Evernote please fix ASAP ,",request-complaint
I will not use a note application I can  t trust not to lose my information.,complaint
"Since IOS 7,2, it continues to crash upon opening.",complaint
"It let me down AT THE HOSPITAL where I needed Medication List, Healthcare Power of Attorney and Living Will.",complaint
"Epic FAIL ,",complaint
"Don  t upgrade, newest version has a connectivity problem with wifi and won  t open.",complaint
"Even after clean install this app crashes over and over ;(\nGuys, please test updates before releasing them.",complaint-request
How could this app fail so completely?,complaint
"They made it so complicated n difficult to use (it was a lot more easier few updates ago), I have no idea how to add a note.",complaint
It won  t remain open for more than 10 seconds before it crashes.,complaint
\n\nDeletion and reinstallation of the app has yet to resolve the issue.,
App keeps freezing and then it crashes.,complaint
But upon latest upgrade crashes on open.,complaint
Do not upgrade on iPad.,
Very disappointed I can  t access my info as premium user.,complaint
The newest update crashes repeatedly!,complaint
Do not update!,
Now I can  t access any of my notes.,complaint
"After the latest upgrades, there were issues and now it crashes and I cannot access anything.",complaint
Please fix it!,request-complaint
I have tried to delete and reinstall but that didn  t fix the problem.,complaint
New version crashes every time on iPhone 5.,complaint
Please get a fix out soon.,request-complaint
The new version did not crash in my hand because I deleted it in 5 min and went back to the old version by syncing with iTunes library on my PC.,
\nThe biggest problem for the new version is   people like me having 30 notebooks and 80 tags have big trouble switching between notes.,complaint
You have to tap several times between each switch.,
"\n\nThe second problem is the ugly interface, probably for matching the ugly icons of iOS 7?",complaint
It crashes.,complaint
"mwingerski ,  If this development team focus on making the App WORK rather than always adding new features I might give this five stars \nNew features are totally worthless if I can  t even open the app after it updates\nDon  t bother sending a support request from within the app because no one ever reads it even if you are a premium subscriber ,",complaint
'Unable to sync' this is a past problem.,complaint
\nThought I resolved problem when I uninstalled and reinstalled app on my iPhone.,
Recent update causes Evernote on iOS to fail.,complaint
"Whit screen of death...can  t even use ,",complaint
"I don  t have a problem paying for Premium, but not when it includes something so basic and essential that it  s a joke to have to pay for.",complaint
Where is your QA?,
Update crashes all the time.,complaint
Once again Evernote has launched an update that crashes on both my iPad and iPhone 5S.,complaint
I even have the Premium version and bought several books on how to use the tool.,
I think the power just takes a while to understand for each user.,
"Extending the brand into notebooks, backpacks, coffee mugs and T shirts works for Starbucks because the coffee tastes good and is reliably available.",
Do not update.,
The last update crashes upon opening on iPad and iPhone!,complaint
It tries to open for a few seconds then crashes to home screen.,complaint
I tried uninstalling rebooting reinstall but the same result occurs.,complaint
Please fix this ASAP!,request-complaint
New version crashes on both iPad 2 and iPhone 4S.,complaint
Please fix app.,request-complaint
Updates crashes 5s\nClean install same\n\nEvernote help no help\nEvernote you.,complaint
I like it and it  s available in all platforms.,
"I love Evernote and have become very reliant on it, one of the apps I can  t do without however I am without it now because it crashes on open and will not open on iPhone.",complaint
Tried to delete and reinstall but it still crashes.,complaint
"Sclathos ,  Evernote is not working after upgrade.",complaint
It will open but then it crashes and sometimes re opens on its own.,complaint
You can  t open any notes when it does load.,complaint
"When I try to take a photo as a note, the app crashes.",complaint
7.2 completely crashes on startup on iphone 5 and ipad 3.,complaint
"App crashes on update, even after reboot and reinstall.",complaint
Please address issue.,request
"One of my all time favorite apps, however the latest update makes it unable as it freezes and crashes.",complaint
"It  s a great program,  but since the last update last night, it just crashes every time I open it.",complaint
"\n\nI uninstalled it, reinstalled it, still crashes.",complaint
"I uninstalled it, did a clean boot, installed again, still crashes, Evernote, please fix this ASAP.",complaint-request
You must get this app one of the best.,
"Probably the best app available so easy to use and it makes a lot of fun\nLove using it on my iPhone too ,",
"Also has practical uses...show pictures to hair stylist, pin recipes so you know what you need at the store, etc ,",
"I love this app, i think it is the best out there i recommend this to anyone who loves to kill time on their computer!",
"Only complaint is you can  t change then orientation, which is especially bothersome for videos.",complaint
This is a little inconvenient and could be improved.,complaint-request
I do not feel the need to be notified when someone creates a new board.,
I haven  t had any problems with this app.,
"It is so much fun and gives you so many ideas of how to approach life ,",
There are also great cleaning ideas and personal ideas like how to make your own facial scrub!,
My only problem with Pinterest is I lose track of time when I  m on it.,complaint
It would be nice if it would let you start typing the name of the board and it would pull it up.,request
Thank you for adding more secret boards!,
"I have lots of recipes on here and when I  m trying to find that recipe I made a year ago so I can make dinner, it  s frustrating that I can  t search for it and find it quickly.",complaint
Some minor problems happens often but still love this app!,complaint
You can use it for anything and it  s so easy to use.,
"If there is a way to do this, it isn  t intuitive.",complaint
": / I  m kinda technologically challenged, I admit, but ideally the app should be programmed and designed with people like me in mind!",request
It  s always up to date and never crashes!,
The only issue is that the search function for your own pins is not very accurate.,complaint
"Its good but it can use a bit of an improvement, like sometimes the pictures just doesnt show and it takes a while for it to get back but that would be it ,",request-complaint
"Works smoothly and easily, every time I use the app...can  t say that about all apps.",
"Love this app, and it  s not crashing for me anymore!!",
I wish there was a way to put my boards in alphabetical order without moving them all individually.,request
I love that you are now able to pin from your clipboard!,
I like everything about this app except the fact that I can  t pin anything from my iPhone!,complaint
My only complaint would be that if a pin is reported as a possible threat why isn  t it removed?,complaint
Haven  t had any problems on iPhone 5!,
When I wake up in the middle of the night I just grab my phone and start pinning!,
Please fix this problem and let us pin more than that.,request-complaint
The app on my iPad regularly crashes.,complaint
I can be bombarded with ads anywhere   I don  t need to sit and browse through them.,complaint
I  ve never had an issue with it crashing.,
My only problem with it is the fact I say just 2 more minutes and they turn into hours!,complaint
"However, it has crashed a couple of times recently on the iPad.",complaint
I might use it 50 times a day just for home made goodies alone.,
\n Absolutely HATE the new way they list the categories with a picture....please go back to the old list...or let us choose which we  d like to use.,complaint-request
They updated the app and it is a lot better.,
"Luckily I don  t have the crashing issue or I would probably have to cry, lol.",
I could not tell you how many fun ideas I have tried and loved because of Pinterest.,
I think it  s much easier to pin things on the app than it is to pin them on the website.,request
I love looking at wedding stuff to help me plan my upcoming wedding.,
"I like pinterest a lot, but it really needs to be managed better.",request
Adding 12/24/13  do not like updated fragmented boards.,complaint
Use it just about everyday.,
"Frequent app crashes on my iPad, please fix this bug!",complaint-request
"Pinterest is my go to when I need an idea for anything (hair styles, crafting, cooking, whatever!)",
"\n\n~update for new version~\n\nI preferred the last layout and it STILL crashes when the orientation changes (and at random, too).",complaint
Why put the effort into a new layout and not fix major bugs?,complaint
I feel that they need to remove them.,request
Will think of other improvements that may be needed when I think of them.,
Please fix the bugs!!,request-complaint
"Does the job you need it for but occasional crashes (I use it daily and it probably crashes once a week) can be a nuisance, but just briefly.",complaint
"Will,lock up,and crash often.",complaint
"Sha  chey Renee ,  This new update crashes when I click on images and I can  t see my followers and who  s following me please change this ,",complaint-request
I would have given it 5 stars except it crashes for no reason &amp; whatever you were looking at is lost.,complaint
Why was this feature removed?,
Please fix this soon!!,request-complaint
"I want to change the covers on my boards, but you can  t do that in this update, please fix it or if you got rid of it, please bring it back!",complaint-request
"However, in the last update something happened and now the app crashes constantly and when I can get in, all my pictures are gone.",complaint
Please fix this soon!!,request-complaint
The only thing is it crashes a lot!,complaint
"HomelessDragon ,  Says I need to grant access to log in via Facebook.",request
I find it very annoying that Pinterest keeps crashing literally every few minutes...didn  t have this problem before.,complaint
"It will work fine sometimes, but since the new update if I leave and come back to the app the images won  t show up.",complaint
Please change it back to how it was before.,request
"I  ve seen many people have this issue, and currently mine takes up 1.5 gb of my memory because it saves every single photo u pin or look at in the cache.",complaint
Never had an issue with it.,
Very annoyed that I can  t delete pins from notifications tab.,complaint
"Whether I need some inspiration in planning a birthday party, motivation to work out, or outfit ideas, Pinterest is my first stop!",
It is the one if the best apps ever created and is very useful and fun to look at.,
It  s cool how you can save the things you like as well.,
"\n   \n However, I don  t know if there is a way to contact Pinterest in order to suggest ideas for the app  s improvement.",
\n I would like to suggest the idea that Pinterest create folders for our boards.,request
I think we should get more.,request
Now I have to scroll through all of them instead of just touching a letter to find the board.,
"I just love this app ,",
It is great to be able to see the details I need without wasting paper or taking up a lot of space on my small table.,
"My iPad no longer crashes, so I  m a happy camper about that.",
Please undo this terrible update!!!!,request
"While aesthetically better looking, it does not work well.",complaint
The new updates are causing problems...first it was crashing my iPad almost every day.,complaint
"Now, it won  t load correctly (pictures missing) and my boards are missing cover pics, which I can  t even edit because there  s no option to change the picture anymore.",complaint
"Smash lover ,  Pinterest, is like a social media drug once you have a little you need a lot!!!!!",
"Bdmama13 ,  I love the app but I can  t pin from etsy or other websites with the Pinterest button on the iPad mini.",complaint
Wouldn  t let me update the app.,complaint
Since update can  t login with my Fb acct!,complaint
"The app was great, please fix!",request-complaint
I want to know if anybody is having the problem about an update on Pinterest!,
I need my App back!!!,request
When I try to update it says that the app is no longer available.,complaint
"I cant get the app it says its no longer available ,",complaint
Trying to update and keeps saying the item  I  m trying to purchase is not available.,complaint
"Um I  m not trying to purchase I  m trying to update please fix ASAP now it  s saying can  t connect to iTunes  I  m getting frustrated ,",complaint-request
"I uninstalled it because when I tried to update it said What you  ve tried to buy is no longer available.""""",complaint
Now I can  t reinstall.,complaint
I was trying to update my phone but it  s telling me that Pinterest is no longer available.,complaint
When the update came I tried to update it but it said that It wouldn  t let me.,complaint
I love Pinterest and always wished there was some way to go easily from pin to pin on a board or category.,request
I was excited to see that they added the swiping feature in the latest update.,
Tried to update this app (the update is for bug fixes) and it tells me the item I  m trying to buy is no longer available!!!,complaint
Now it says not available to purchase.,complaint
For some reason it  s not letting me update &amp; 'this update is no longer available' and then it deleted my app,complaint
"So, I tried uninstalling and reinstalling it, but now it won  t let me download the app.",complaint
It says 'The item you tried to buy is no longer available.',complaint
"grlnxtdr2u978 ,  My Pinterest app is saying it needs an update but I am getting this message when I choose update.",
Can I not download the app?,
It says it  s no longer available!,complaint
What happened?,
What happened?,
"magirlokmynameisnicky ,  It won  t let me create an account at all I think it is a bug or something.",complaint
What is the problem since the update?,
Of course I adore Pinterest but the app always has bugs and the last update has made Pinterest completely unusable.,complaint
I need my Pinterest!!!,request
I can  t even open the app after it  s latest update!,complaint
"The only thing wrong is when I go to repin something, I go to write a description and click on the box but it crashes.",complaint
I cannot access my notifications anymore and when I try to change captions I can  t. Why can  t I post comments anymore?!?!?!?!,complaint
I love love Pintrest but hate that it sometimes crashes since iOS 7 has come out never had that problem before but for that issue a great app.,complaint
You just put your finger on the pin picture and instantly you have options that POP up.,
Do not like the new update.,complaint
"Works great and I  ve nvr had a problem with it or gotten a bad idea off Pinterest ,",
The only issue I have is that it  s sensitive.,complaint
Other than after I updated it it crashes every other time I use it!,complaint
"The only problem is when I get on, I don  t want to stop!",complaint
"I can look at pins, but I can  t do much else for the last two days.",complaint
"The app shuts down, won  t load some pins, and I can  t edit pins.",complaint
It was perfect before I updated it 2 minutes ago.,
"Love it because it is more portable than my computer so I can use it working out or cooking in the kitchen ,",
It  s like 3/4 of them are missing.,complaint
"With the updates, you forgot to put back to edit board cover for iPad users!!",complaint
Pinterest is the best tool for fashion designers who needs to draw inspirations from different culture and historical era.,
"Can  t view pins, all notifications have disappeared, crashes constantly.",complaint
"\nWish i could have more than 3 secret boards, please add the feature.",request
"Online hoarding, what could be better?",
Please fix this bug problem Thank you.,request-complaint
Way to fail Pinterest.,complaint
This App as created an addition for Pinterest that I didn  t have before.,
"the app is amazing in my iphone but when I use it on my computer its annoying when I have to pin because it isnt fast to do it so I dont like in my computer I just rather to use it on my iphone, but besides that I just love it!!!!",complaint
I can  t live without it!!,
I liked having the letters on the side so I didn  t have to roll through my entire list of boards to pin something.,
Please find a way to sort the DIY and Etsy stuff apart from each other  it  s frustrating to click on a project only to find you  ve been diverted to an Etsy store.,complaint-request
"When you need any sort of idea, all you have to do is check Pinterest.",
"I absolutely recommend Pinterest, although it is addicting!",
If you use Pinterest you need this app.,
Sometime I can  t click to go to websites but overall good app.,complaint
I still feel all these larger companies should have the email synch up with my app so when I get an alert and click on the email it should go to my app not the web page.,request
Now however I just like it  they decided to change the entire way you pin the look of everything and made all the type small and not as colorful and pleading to the eye.,
I would never be able to see so many of the wonderful things the world has to offer if not for Pinterest!,
Love using Pinterest to research all kinds of things and usually find info more appropriate for what I want to know then on other search engines!!,
However it constantly crashes and freezes!!!!!,complaint
Love using the app but very very annoying they need to fix all the glitches !!!!!,complaint
I love that if I need an idea for a craft or have a stain on my carpet I can find ideas or solution for just about everything.,
I learn how to do so many things from Pinterest.,
Learned how to cut my own hair.,
I don  t know why some people put one star but they made a mistake!,
How could you not love it ?,
"Up until like a week ago I  ve never had a problem with it before, so I don  t understand what  s going on now.",complaint
They need to get this fixed and fast!,request-complaint
\nMy only qualm is not being able to easily save pictures.,complaint
"That  s a minor issue, though.",complaint
"I love Pinterest &amp; the apps are more user friendly than the website, BUT there needs to be a way to mark where you stopped browsing on your home feed.",request
App never crashes anymore.,
It  s helping me to plan a bunch of different things I want to accomplish in the future and I am so excited for that!,
"There are quite a few pins that you click on and it will only pull up a picture or take you to a completely different page, but other than that, when you find those pages that take you right where you need to be, there  s a world of wonders out there!!",
"Like any other App it might have its moments, but all in all it  s fantastic!",
So glad they made this into an app!,
Why did you change Pinterest with the last update?,
Why do you change things that were not broken?,
I have made many recipes and DIY projects.,
"It has given me ideas in on how to renovate my kitchen, teach algebra to my kids, build a mud room, etc.",
"Great site,  need to improve stability.",request
There is anything and everything that you could ever want or think of on this one site!!,
I love that you can pin without having to click through a million different things.,
No crashes.,
Now that the app is better I need an app for more time in the day.,request
"I almost never have any issues with it except sometimes the notifications won  t refresh or sometimes the notifications take days to show up ,",complaint
"I think it  s cool you can swipe through apps, but I did like the feature when you could swipe back to the previous page ( which you can  t do anymore).",complaint
"Great ideas, like minded people, but the organization for my brain is the best!",
There have been times when the pins take a long time to load but overall it  s a great app and I recommend it to anyone.,complaint
"Ever since the iOS 7 update, the app crashes whenever I try to look at my notifications.",complaint
Best app/site ever lots of information and you can find everything you need!,
"I  ve never had any problems, always works well.",
Love it and the new easier way to pin by just holding down the item!,
And what happened to being able to pin a photo to my fb wall?,
I love the app but it crashes only 5 minuets into searching and looking on it.,complaint
"It  s easy, works well, and is a million times more organized than I know how to be.",
"I  m on it all the time, and love how you can organize your boards.",
I never have problems with crashing.,
Love Pinterest but the app crashes from time to time.,complaint
"It  s easy to use, and you can find anything you need with just a little searching and effort.",
Love Pinterest but will just crash when I try too look at pin notices.,complaint
The only problem is I spend too much time on it!!!,complaint
Only problems I have are there  s no multiple upload option.,complaint
Would be nice to easily move pins if pinned mistakingly to wrong bored.,request
Old way was fine.,
Still could use a few minor tweaks but overall very good!,request
Please restore it back the way it was.,request
"Brynnmlj ,  Every time I open my feed, it crashes same with my profile!",complaint
They need to make some fixes.,request-complaint
Why can you drag and drop whole boards but not the pins within a board?,
Recently many updates including the ability to swipe to pin as well as sending pins to another user have added such great quality to the app.,
:p\n\nI highly recommend this app.,
Notifications are broken and can  t access sent pins.,complaint
I may be slightly addicted to it.,
"I don  t like how you have to comment on them now, how i have to scroll through all my boards to get to one and I really hate how you cant have more than one board open at a time with the x  s in the corner.",complaint
The bottom just doesn  t work for me.,complaint
"This is my favorite app in the world but all of a sudden it starting to crash again and it is really annoying, PLEASE FIX THIS!!!!!!!!!",complaint-request
"Great way to pass the time when u need good ideas ,",
Once you start you can  t stop!,
I love looking at the crisp beautiful images &amp; great ideas that are easy to categorize.,
"The only thing I hate is the bug that shut it  s down, usually when I inadvertently have too many windows open.",complaint
"I  m addicted, everyone should have a Pinterest!!!!",
"So far so good, haven  t had any problems with it.",
Sure would be nice if the app didn  t crash so often while I  m pinning or just freezes.,complaint
More updates need to be included with this app in order to keep it moving.,request
"Which one gets you to the list of categories: the home, magnifying glass, plus sign, or person?",
"If you   like   a pin, you should not be listed as following them.",request
Fantastic ideas and the recipes are awesome.,
Now it will not load new pins from people I follow and if I click to view people I follow then it crashes and closes the app.,complaint
Love this app but it crashes too much!!,complaint
A pretty good representation of the website but took a while to figure out how to save a photo to the camera roll.,complaint
The app still crashes a lot and will often lose the page I was on if I switch to another app for a moment   which is really annoying.,complaint
"Not a fan of the new layout, and the app still crashes, even on the most recent iOS platform.",complaint
"Whenever I need an idea for anything, I can find a ton here!",
I receive a lot of pins and its frustrating that the pins show up small I think it would be cool if it comes up like the pins do when we are pinning.,complaint-request
Having the pins on the left needs to be moved back to the middle.,request
"I do wish, with all the new updates, they made a slide show option because sometimes I just want to flip through my pins(instead of having to click on each one, one at a time).",request
"I RECOMMEND it to every wedding planner, fashionista, technology mogul, DIY fanatic, food craver, comedic lover, and many more.",
"Highly recommend it ,",
Don  t try to fix something that doesn  t need fixing?,request
"Reverse, please!!!",request
I don  t even need any other apps.,
How did I ever live without Pinterest?,
Only thing I wish it would do would allow me to print from my iPad easily.,request
The only complaint I have is that it crashes at random times.,complaint
"Though It crashes after a couples minutes on my ipod ,",complaint
I just miss the you could save the photos in your iPhone but other than that I  m in love with this app!!!,complaint
Gives me lots of ideas from tatoos to home decor to building or just make my life easier &amp; more fun!,
"I use it all the time and I love how it rarely crashes ,",
"Very well put together but after using for a little bit on my iPhone, the app crashes.",complaint
When using it on my iPad it crashes and my iPad just shuts off then restarts it  s self.,complaint
"You don  t have to search and search the stuff that interests on the web, its all here, you can also add information you others to see.",
"I also liked that choosing the board did not close my new pin, not allowing me to make any additional changes to the wording if the pin.",
"\nOne more thing, a lot of other people and I really liked the alphabet scroll bar for the boards, so it would be nice if you could bring that back with your next bug fix.",request
My only complaint would be occasional crashes.,complaint
Please fix the bugs!,request-complaint
"I LOVE the update, but I can  t enjoy it because it still crashes A LOT!",complaint
This app crashes at least twice a day and now is not fully loading the activity my pins are getting.,complaint
I wish I could have the last version back.,request
"I don  t like the pull up menu, please fix!!",complaint-request
Please fix it!,request-complaint
Please fix ur problem!,request-complaint
Please fix it.,request-complaint
Please fix this!,request-complaint
What happened to my notifications?,
"They are only showing the brand new ones, problem is sometimes I don  t get through them all and then I come back...now they are gone!",complaint
Please please fix this!!!,request-complaint
"What happened to the related pins"" that you got at the bottom of a pin?""",
I hate that you can no longer see all the other items people pinned when you click on a specific pin.,complaint
That was what made this so much fun...the unlimited exploring.,
Please fix it.,request-complaint
"All my past notifications are gone (I liked being able to look through the past ones) and I can  t access related pins, which was really helpful in narrowing down my search results.",complaint-request
Please fix bigs.,request-complaint
\nThat  s how I found most of pins and now it  s gone?!!!!?,
Please fix this.,request-complaint
Thank you for putting the time bar back and it has been crashing for me less thus far.,
There are so many times that I  m on Pinterest when I definitely need to be doing other things.,
"I can barely go on there for a minute with out it crashing ,",complaint
If you have numerous boards you now have to click to make the keyboard go away if you change the caption or you can  t scroll to the bottom of your board list because the keyboard blocks it.,
Why do you now have to reach across the screen to obtain your list of boards?,
Why can you no longer see the number of followers you have on each board?,
Why does your total number of boards no longer show on your main page?,
If was not broken it  should not have been fixed.,
Please fix it.,request-complaint
Can  t stop pinning!!!,
"I hate the new layout, the menu bar at the bottom, the way I can  t just tap outside of a box to close it, how the close x"" has switched sides with the ""pin it"" button.""",complaint
\nThe one positive: it hasn  t crashed on me since the update.,
"I use Pinterest a lot, and version 3.3 still has the same issue as the last couple of updates.",complaint
Crashes constantly and will occasionally crash my iPad 3.,complaint
It needs to be fixed not have useless things added on like a map option.,request-complaint
"What was the point of this last update, to make the app as difficult as possible to use?",complaint
I don  t like that you can  t choose board cover with new update.,complaint
It provides an access to ideas for just about any and everything!!!,
"Great app, would be nice if you could change tags on mobile version.",request
"can  t figure out how to change a board cover after the update ,",complaint
I doubt they even posted them.,
Obviously Pinterest is having spam issues.,complaint
Please clear them up.,request
"Every since I updated to iOS7, this app crashes my whole iPad.",complaint
Please fix because I don  t like using Pinterest on a browser.,request-complaint
Please fix this.,request-complaint
Please fix it.,request-complaint
How do you change the board cover?,
"However, you guys forgot to add the follow count for individual boards.",
"It crashes about five times a day, when it IS working it is awesome.",complaint
Hopefully the crashing has been fixed when there are a few open pages.,
"\n\nAlso, why did you remove the number of pins we have per board?",
Please pay attention the the negative feedback.,request
So what happened to the option of saving photos from Pinterest directly to the camera roll on iPads?,
Totally counterintuitive and just makes things really difficult.,complaint
"It is not user friendly to navigate, and there is an issue where I can  t pin something because the pin button is out of reach.",complaint
Now I can  t email pins and upgrade is sluggish.,complaint
Please put it back!,request
And please add tags bc the search feature becomes useless when my description just says cute or adorable and I have to search my entire board to find something.,request
"About half of attempted re pins fail, the hide &amp; seek bottom dock is a real pain to use, and it much, much harder to navigate in general than the older version.",complaint
Please bring back the last version or let us down grade from this atrocious unusable fail.,request
They just need to update the layout I fill like everything is hidden I want a better task bar.,request
This version has crashed many more times than previous ones.,complaint
boards/subjects should have some type of restrictions or distinguishing   key phrases.,request
"No more crashes, and I  m happy once again.",
App is crashing when trying to send a direct message via email.,complaint
"The look is bland, and apparently Pinterest has forgotten tons of their pinners are DIY and crafting nuts.as you can probably can tell, I may have a slight problem with Pinterest.",complaint
"Just PLEASE fix it, then I will love you so.",request-complaint
Please fix this.,request-complaint
Love the app but when I open the notifications it crashes.,complaint
Please know I adore this app .,
Just please fix this bug.,request-complaint
"But is there a way for used to filter out certain topics, like tattoos and wedding dresses?",
"So, the app is totally worthless to me when I am doing everything right and it  s not working.",complaint
I updated my iPhone app and now when I open the app all the pages are blank.,
"BSRA1028 ,  I love this app but ever since I updated it it does not work.",complaint
Please fix this   very annoying and limits my use of the site.,request-complaint
I updated the app and now no pins will show in the news feed or in the categories.,
Please fix it!,request-complaint
I  m quite annoyed and would really like them to fix this situation.,request-complaint
Please fix this because otherwise I LOVE this app but it is useless to me if I can  t view ANYTHING!,request-complaint
Please restore a way to open pin links in external browser or let us save photos.,request
I just wish that you could have more secret boards.,request
Any app that crashes is terrible.,
Pinterest crashes  your iPad to the boot screen.,complaint
I can  t think of one instance of another app doing this.,
If I had to say there was a problem it would be that this app is too addicting!!!!!!,
This needs to be fixed.,request-complaint
The addition of secret boards was a great idea!,
If only every pin had a direct link to how to buy it or the items inside.,
Where are the categories?,
I use this for home and work just to get new ideas.,
I love this app but I would also love if they added a way you can see pins people sent you &amp; pins you sent to other people!,request
I love seeing what others ideas are.,
The app crashes my iPad since iOS 7 update.,complaint
What happened?,
Please bring that back.,request
Please bring back the save to camera roll.,request
"Prior to newest update: Love app, only problem is sometimes when I want to pin, it won  t let me click pin.",complaint
It has everything I need!!,
"BUT...every time I go to a website from a pin then come back, it crashes!!!",complaint
Can  t email cause it crashes every time.,complaint
Please repost the old one so we can downgrade.,request
Except how do I change my board cover pin?,
So glad they added a business profile!,
I just love all the personalizing you can do.,
"I can  t find any help on the devloper  s pages or online, so what am i to do?",
Please bring back the old.,request
"Please change it back, I hate everything about it!",request-complaint
Still crashes since updated my iPad 3 with IOS 7.,complaint
If you are on Pinterest...you need this.,
"Seriously, I can  t find them now....epic fail.",complaint
I am unable to post a comment...the message I get is: 'You have exceeded your rate.',complaint
We think you were trying to post content that might be spam.,
I love this app but now I can  t open the pages and I can only see the pins but when I click on them I can  t go to the websites.,complaint
I just wish it would allow your to scroll through the home page with one column rather than 2 on the iPhone.,request
You can pretty much anything you want to know or design in here.,
\nI need more hours in a day.,request
Never had issues with the app.,
"Now it crashes randomly, and often.",complaint
My daughter has created a bunch of items from this app!,
I have had no problems with it.,
"There are so many great ideas, yummy recipes, and hillarious ecards.",
"It  s okay, sometimes it can be buggy but since my last update I haven  t had a problem!",complaint
"Only issue I have is that is will refuse to let me pin once in awhile and that gets frustrating, but otherwise I love it!",complaint
"I do not like how some pins lead you to a dead site, those should be removed.",complaint-request
I love Pintrest so much it gives me so many craft ideas or just keeps me busy when I  m bored!,
I don  t have any problems and you can find about anything you  re looking for ?,
"Makes it difficult to find things, since I have to try and remember WHEN I created the board, to make it easier to find.",
Please fix it!,request-complaint
I  ve also had issues with some pins not being clickable.,complaint
I love the app but it crashes every  minute and never saves the thing I was about to pin!,complaint
"I can  t stop ,",
"The iPad version has several problems, including stacking open windows in the background, not alphabetizing new categories on your page, and frequent unexpected program crashes.",complaint
What ever I need some inspiration for I can surely find it here!,
"but since upgrading to iOS 7, the app frequently crashes.",complaint
Please fix the stability!!,request-complaint
Please fix this ASAP!,request-complaint
That creates a problem for me because it is my ADDICTION !!,
The latest revision of the app has had some stability problems.,complaint
"But, the new update keeps crashing the app every time I try to open a pin.",complaint
Please fix it!,request-complaint
I love being able to use Pinterest thru the app but it seems to be having problems.,complaint
The only issue I have is that some of the pins have no link...you click the picture and that  s all you get is the photo.,complaint
Amazing ideas and the imagination is endless.,
"Also, how in the world do you communicate with someone or send them a pin?",
It is my go to app when I need an idea.,
"Excellent app, though it occasionally crashes when browsing through it.",complaint
"Push notifications are not working on my iphone although it  s set up properly and when you open a sent pin while in email on the iPad, it forces Safari to open, it does not open it in the App.",complaint
It has everything you need!,
